grouper,time.fed,trim.before,trim.after,colorer,filterer,facet_wrap,sd_peak_value,sd_time_of_peak,sd_valley_value,sd_time_of_valley,hours_to_starve
CEW1_0uM_1,22-01-18_15-00,NA,NA,0uM,TRUE,CEW1,159,2022-02-03 03:22:00,25,2022-01-31 11:22:00,372.366666666667
CEW1_0uM_2,22-01-18_15-00,NA,NA,0uM,TRUE,CEW1,124,2022-02-02 07:17:00,1,2022-01-31 03:17:00,352.283333333333
CEW1_20uM_1,22-01-18_15-00,NA,NA,20uM,TRUE,CEW1,115,2022-02-03 05:14:00,1,2022-02-01 02:14:00,374.233333333333
CEW1_20uM_2,22-01-18_15-00,NA,NA,20uM,TRUE,CEW1,147,2022-02-03 01:09:00,1,2022-01-31 10:09:00,370.15
CEW1_50uM_1,22-01-18_15-00,NA,NA,50uM,TRUE,CEW1,185,2022-02-05 01:20:00,1,2022-01-31 06:20:00,418.333333333333
CEW1_50uM_2,22-01-18_15-00,NA,NA,50uM,TRUE,CEW1,161,2022-02-04 07:14:00,2,2022-01-30 12:14:00,400.233333333333
CEW1_50uM_3,22-01-18_15-00,NA,NA,50uM,TRUE,CEW1,83,2022-02-05 11:09:00,1,2022-01-30 11:09:00,428.15
CEW1_5uM_1,22-01-18_15-00,NA,NA,5uM,TRUE,CEW1,113,2022-02-05 01:09:00,1,2022-01-31 15:09:00,418.15
CEW1_5uM_2,22-01-18_15-00,NA,NA,5uM,TRUE,CEW1,74,2022-02-06 05:22:00,1,2022-01-31 03:22:00,446.366666666667
CEW1_5uM_3,22-01-18_15-00,NA,NA,5uM,TRUE,CEW1,126,2022-02-04 03:17:00,4,2022-02-02 01:17:00,396.283333333333
CEZ-047_0uM_2,22-01-18_15-00,NA,NA,0uM,TRUE,CEZ-047,257,2022-02-03 20:00:00,1,2022-01-31 11:00:00,389
CEZ-047_0uM_3,22-01-18_15-00,NA,22-02-04_00-00,0uM,TRUE,CEZ-047,188,2022-02-03 06:22:00,1,2022-01-26 10:22:00,375.366666666667
CEZ-047_20uM_1,22-01-18_15-00,NA,NA,20uM,TRUE,CEZ-047,161,2022-01-29 20:03:00,1,2022-01-27 19:03:00,269.05
CEZ-047_20uM_3,22-01-18_15-00,NA,NA,20uM,TRUE,CEZ-047,194,2022-02-05 16:06:00,2,2022-02-02 22:06:00,433.1
CEZ-047_50uM_1,22-01-18_15-00,NA,NA,50uM,TRUE,CEZ-047,144,2022-02-02 10:09:00,1,2022-01-29 09:09:00,355.15
CEZ-047_5uM_3,22-01-18_15-00,NA,NA,5uM,TRUE,CEZ-047,155,2022-01-31 14:00:00,5,2022-01-20 00:00:00,311
JU400_0uM_1,22-01-18_15-00,NA,NA,0uM,TRUE,JU400,144,2022-01-22 06:14:00,1,2022-01-21 02:14:00,87.2333333333333
JU400_0uM_2,22-01-18_15-00,NA,NA,0uM,TRUE,JU400,197,2022-01-23 19:07:00,1,2022-01-22 20:07:00,124.116666666667
JU400_0uM_3,22-01-18_15-00,NA,NA,0uM,TRUE,JU400,188,2022-01-24 03:00:00,1,2022-01-22 08:00:00,132
JU400_100uM_1,22-01-18_15-00,NA,NA,100uM,TRUE,JU400,59,2022-01-28 12:00:00,3,2022-01-20 09:00:00,237
JU400_100uM_2,22-01-18_15-00,NA,NA,100uM,TRUE,JU400,4,2022-01-25 18:18:00,1,2022-01-25 15:18:00,171.3
JU400_20uM_1,22-01-18_15-00,NA,NA,20uM,TRUE,JU400,117,2022-01-24 07:11:00,1,2022-01-22 21:11:00,136.183333333333
JU400_20uM_2,22-01-18_15-00,NA,NA,20uM,TRUE,JU400,97,2022-01-24 16:04:00,1,2022-01-22 18:04:00,145.066666666667
JU400_20uM_3,22-01-18_15-00,NA,NA,20uM,TRUE,JU400,177,2022-01-25 18:14:00,4,2022-01-23 18:14:00,171.233333333333
JU400_50uM_1,22-01-18_15-00,NA,NA,50uM,TRUE,JU400,160,2022-01-24 05:18:00,1,2022-01-21 19:18:00,134.3
JU400_50uM_2,22-01-18_15-00,NA,NA,50uM,TRUE,JU400,132,2022-01-26 12:11:00,1,2022-01-24 03:11:00,189.183333333333
JU400_50uM_3,22-01-18_15-00,NA,NA,50uM,TRUE,JU400,189,2022-01-25 15:04:00,1,2022-01-23 18:04:00,168.066666666667
JU400_5uM_1,22-01-18_15-00,NA,NA,5uM,TRUE,JU400,212,2022-01-20 20:04:00,3,2022-01-20 06:04:00,53.0666666666667
JU400_5uM_2,22-01-18_15-00,NA,NA,5uM,TRUE,JU400,160,2022-01-23 23:14:00,1,2022-01-23 00:14:00,128.233333333333
JU400_5uM_3,22-01-18_15-00,NA,NA,5uM,TRUE,JU400,206,2022-01-24 01:07:00,1,2022-01-22 14:07:00,130.116666666667
PB306_0uM_1,22-01-18_15-00,NA,NA,0uM,TRUE,PB306,202,2022-01-25 19:00:00,1,2022-01-24 12:00:00,172
PB306_0uM_2,22-01-18_15-00,NA,NA,0uM,TRUE,PB306,138,2022-01-26 00:28:00,1,2022-01-24 18:28:00,177.466666666667
PB306_0uM_3,22-01-18_15-00,NA,NA,0uM,TRUE,PB306,180,2022-01-26 10:21:00,3,2022-01-24 16:21:00,187.35
PB306_100uM_1,22-01-18_15-00,NA,NA,100uM,TRUE,PB306,139,2022-01-29 12:06:00,1,2022-01-25 13:06:00,261.1
PB306_100uM_2,22-01-18_15-00,NA,NA,100uM,TRUE,PB306,175,2022-01-29 16:00:00,1,2022-01-25 12:00:00,265
PB306_100uM_3,22-01-18_15-00,NA,NA,100uM,TRUE,PB306,134,2022-01-30 03:28:00,1,2022-01-26 09:28:00,276.466666666667
PB306_20uM_1,22-01-18_15-00,NA,NA,20uM,TRUE,PB306,191,2022-01-26 17:03:00,1,2022-01-24 20:03:00,194.05
PB306_20uM_2,22-01-18_15-00,NA,NA,20uM,TRUE,PB306,163,2022-01-27 13:21:00,2,2022-01-19 08:21:00,214.35
PB306_20uM_3,22-01-18_15-00,NA,NA,20uM,TRUE,PB306,204,2022-01-25 21:25:00,1,2022-01-24 07:25:00,174.416666666667
PB306_50uM_1,22-01-18_15-00,NA,NA,50uM,TRUE,PB306,179,2022-01-28 07:00:00,1,2022-01-26 02:00:00,232
PB306_50uM_2,22-01-18_15-00,NA,NA,50uM,TRUE,PB306,196,2022-01-27 12:28:00,1,2022-01-25 06:28:00,213.466666666667
PB306_50uM_3,22-01-18_15-00,NA,NA,50uM,TRUE,PB306,110,2022-01-28 16:21:00,1,2022-01-26 06:21:00,241.35
PB306_5uM_2,22-01-18_15-00,NA,NA,5uM,TRUE,PB306,245,2022-01-21 05:25:00,2,2022-01-19 00:25:00,62.4166666666667
PB306_5uM_3,22-01-18_15-00,NA,22-01-22_20-00,5uM,TRUE,PB306,186,2022-01-22 09:28:00,6,2022-01-19 15:28:00,90.4666666666667
JU400_100uM_3,22-01-18_15-00,NA,NA,100uM,FALSE,JU400,NA,NA,NA,NA,NA
PB306_400uM_2,22-01-18_15-00,NA,NA,400uM,FALSE,PB306,NA,NA,NA,NA,NA
PB306_200uM_2,22-01-18_15-00,NA,NA,200uM,FALSE,PB306,NA,NA,NA,NA,NA
CEW1_0uM_3,22-01-18_15-00,NA,NA,0uM,FALSE,CEW1,NA,NA,NA,NA,NA
CEW1_100uM_3,22-01-18_15-00,NA,NA,100uM,FALSE,CEW1,NA,NA,NA,NA,NA
CEW1_200uM_3,22-01-18_15-00,NA,NA,200uM,FALSE,CEW1,NA,NA,NA,NA,NA
CEW1_20uM_3,22-01-18_15-00,NA,NA,20uM,FALSE,CEW1,NA,NA,NA,NA,NA
CEZ-047_100uM_3,22-01-18_15-00,NA,NA,100uM,FALSE,CEZ-047,NA,NA,NA,NA,NA
CEZ-047_200uM_3,22-01-18_15-00,NA,NA,200uM,FALSE,CEZ-047,NA,NA,NA,NA,NA
JU400_400uM_3,22-01-18_15-00,NA,NA,400uM,FALSE,JU400,NA,NA,NA,NA,NA
PB306_200uM_3,22-01-18_15-00,NA,NA,200uM,FALSE,PB306,NA,NA,NA,NA,NA
PB306_5uM_1,22-01-18_15-00,NA,NA,5uM,FALSE,PB306,NA,NA,NA,NA,NA
CEW1_400uM_3,22-01-18_15-00,NA,NA,400uM,FALSE,CEW1,NA,NA,NA,NA,NA
CEW1_100uM_2,22-01-18_15-00,NA,NA,100uM,FALSE,CEW1,NA,NA,NA,NA,NA
CEZ-047_50uM_2,22-01-18_15-00,NA,NA,50uM,FALSE,CEZ-047,NA,NA,NA,NA,NA
CEZ-047_5uM_2,22-01-18_15-00,NA,NA,5uM,FALSE,CEZ-047,NA,NA,NA,NA,NA
CEZ-047_100uM_2,22-01-18_15-00,NA,NA,100uM,FALSE,CEZ-047,NA,NA,NA,NA,NA
JU400_200uM_2,22-01-18_15-00,NA,NA,200uM,FALSE,JU400,NA,NA,NA,NA,NA
JU400_400uM_2,22-01-18_15-00,NA,NA,400uM,FALSE,JU400,NA,NA,NA,NA,NA
PB306_400uM_3,22-01-18_15-00,NA,NA,400uM,FALSE,PB306,NA,NA,NA,NA,NA
PB306_200uM_1,22-01-18_15-00,NA,NA,200uM,FALSE,PB306,NA,NA,NA,NA,NA
CEW1_200uM_2,22-01-18_15-00,NA,NA,200uM,FALSE,CEW1,NA,NA,NA,NA,NA
CEW1_400uM_2,22-01-18_15-00,NA,NA,400uM,FALSE,CEW1,NA,NA,NA,NA,NA
CEZ-047_400uM_2,22-01-18_15-00,NA,NA,400uM,FALSE,CEZ-047,NA,NA,NA,NA,NA
CEZ-047_0uM_1,22-01-18_15-00,NA,NA,0uM,FALSE,CEZ-047,NA,NA,NA,NA,NA
JU400_200uM_1,22-01-18_15-00,NA,NA,200uM,FALSE,JU400,NA,NA,NA,NA,NA
JU400_400uM_1,22-01-18_15-00,NA,NA,400uM,FALSE,JU400,NA,NA,NA,NA,NA
PB306_400uM_1,22-01-18_15-00,NA,NA,400uM,FALSE,PB306,NA,NA,NA,NA,NA
CEW1_100uM_1,22-01-18_15-00,NA,NA,100uM,FALSE,CEW1,NA,NA,NA,NA,NA
CEW1_200uM_1,22-01-18_15-00,NA,NA,200uM,FALSE,CEW1,NA,NA,NA,NA,NA
CEW1_400uM_1,22-01-18_15-00,NA,NA,400uM,FALSE,CEW1,NA,NA,NA,NA,NA
CEZ-047_100uM_1,22-01-18_15-00,NA,NA,100uM,FALSE,CEZ-047,NA,NA,NA,NA,NA
CEZ-047_200uM_1,22-01-18_15-00,NA,NA,200uM,FALSE,CEZ-047,NA,NA,NA,NA,NA
CEZ-047_20uM_2,22-01-18_15-00,NA,NA,20uM,FALSE,CEZ-047,NA,NA,NA,NA,NA
CEZ-047_5uM_1,22-01-18_15-00,NA,NA,5uM,FALSE,CEZ-047,NA,NA,NA,NA,NA
