scan.prefix,scan.dir,path.to.scan,scan.position,crop.name,path.to.crop,grouper,colorer,filterer,linetyper,time.fed,trim.before,trim.after,facet_wrap,crop.coords
N2_CB4856_chrom_sub_cisp_scanner_1.plate1,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate1,1,1_N2_CB4856_chrom_sub_cisp_scanner_1.plate1,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/1_N2_CB4856_chrom_sub_cisp_scanner_1.plate1,D_0uM_1,0uM,TRUE,1,24-05-20_13-14,NA,NA,D,720 1024 848 1472
N2_CB4856_chrom_sub_cisp_scanner_1.plate1,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate1,2,2_N2_CB4856_chrom_sub_cisp_scanner_1.plate1,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/2_N2_CB4856_chrom_sub_cisp_scanner_1.plate1,H_100uM_1,100uM,TRUE,1,24-05-20_13-33,NA,NA,H,736 3408 624 1232
N2_CB4856_chrom_sub_cisp_scanner_1.plate1,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate1,3,3_N2_CB4856_chrom_sub_cisp_scanner_1.plate1,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/3_N2_CB4856_chrom_sub_cisp_scanner_1.plate1,B_0uM_1,0uM,TRUE,1,24-05-20_13-11,NA,NA,B,528 7792 960 432
N2_CB4856_chrom_sub_cisp_scanner_1.plate1,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate1,4,4_N2_CB4856_chrom_sub_cisp_scanner_1.plate1,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/4_N2_CB4856_chrom_sub_cisp_scanner_1.plate1,F_100uM_1,100uM,TRUE,1,24-05-20_13-31,NA,NA,F,592 10576 816 816
N2_CB4856_chrom_sub_cisp_scanner_1.plate2,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate2,1,1_N2_CB4856_chrom_sub_cisp_scanner_1.plate2,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/1_N2_CB4856_chrom_sub_cisp_scanner_1.plate2,B_100uM_1,100uM,TRUE,1,24-05-20_13-17,NA,NA,B,936 996 516 372
N2_CB4856_chrom_sub_cisp_scanner_1.plate2,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate2,2,2_N2_CB4856_chrom_sub_cisp_scanner_1.plate2,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/2_N2_CB4856_chrom_sub_cisp_scanner_1.plate2,E_0uM_1,0uM,TRUE,1,24-05-20_13-24,NA,NA,E,636 4128 672 408
N2_CB4856_chrom_sub_cisp_scanner_1.plate2,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate2,3,3_N2_CB4856_chrom_sub_cisp_scanner_1.plate2,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/3_N2_CB4856_chrom_sub_cisp_scanner_1.plate2,D_100uM_1,100uM,TRUE,1,24-05-20_13-22,NA,NA,D,624 3960 624 696
N2_CB4856_chrom_sub_cisp_scanner_1.plate3,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate3,1,1_N2_CB4856_chrom_sub_cisp_scanner_1.plate3,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/1_N2_CB4856_chrom_sub_cisp_scanner_1.plate3,D_100uM_2,100uM,TRUE,2,24-05-20_13-22,NA,NA,D,624 656 528 544
N2_CB4856_chrom_sub_cisp_scanner_1.plate3,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate3,2,2_N2_CB4856_chrom_sub_cisp_scanner_1.plate3,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/2_N2_CB4856_chrom_sub_cisp_scanner_1.plate3,G_0uM_1,0uM,TRUE,1,24-05-20_13-26,NA,NA,G,608 3856 688 1216
N2_CB4856_chrom_sub_cisp_scanner_1.plate3,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data/,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data//N2_CB4856_chrom_sub_cisp_scanner_1.plate3,3,3_N2_CB4856_chrom_sub_cisp_scanner_1.plate3,/Users/sophiatintori/Dropbox/postdoc/072_scanner_method_PAPER/example_input//02_scan_data_cropped/3_N2_CB4856_chrom_sub_cisp_scanner_1.plate3,B_100uM_2,100uM,TRUE,2,24-05-20_13-17,NA,NA,B,528 7488 912 704
